Order;Lot Area;Street;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;1st Flr over Lot Area;1st Flr SF;Mo Sold;Yr Sold;Sale Type;Sale Condition;SalePrice
32;1680;Pave;BrDale;Twnhs;2Story;6;5;1971;1971;0,31;525;3;2010;WD ;Family;88000
33;4043;Pave;NPkVill;TwnhsE;1Story;6;5;1977;1977;0,26;1069;7;2010;WD ;Normal;127500
34;2280;Pave;NPkVill;Twnhs;2Story;6;6;1975;1975;0,38;855;6;2010;WD ;Normal;149900
35;2280;Pave;NPkVill;Twnhs;1Story;7;6;1975;1975;0,37;836;6;2010;WD ;Normal;120000
36;2280;Pave;NPkVill;Twnhs;2Story;6;5;1978;1978;0,38;855;7;2010;WD ;Normal;146000
37;12858;Pave;NridgHt;1Fam;2Story;9;5;2009;2010;0,13;1627;1;2010;New;Partial;376162
38;11478;Pave;NridgHt;1Fam;1Story;8;5;2007;2008;0,15;1704;5;2010;WD ;Normal;306000
39;10159;Pave;NridgHt;1Fam;1Story;9;5;2009;2010;0,19;1940;4;2010;New;Partial;395192
40;12883;Pave;NridgHt;1Fam;1Story;8;5;2009;2010;0,12;1544;6;2010;New;Partial;290941
41;12182;Pave;NridgHt;1Fam;1Story;7;5;2005;2005;0,13;1541;5;2010;New;Partial;220000
42;11520;Pave;NridgHt;1Fam;1Story;9;5;2005;2005;0,15;1698;6;2010;WD ;Normal;275000
43;14122;Pave;NridgHt;1Fam;1Story;8;5;2005;2006;0,13;1822;2;2010;WD ;Normal;259000
44;10171;Pave;NridgHt;1Fam;1Story;7;5;2004;2004;0,15;1535;3;2010;WD ;Normal;214000
45;12919;Pave;NridgHt;1Fam;1Story;9;5;2009;2010;0,18;2364;3;2010;New;Partial;611657
46;6371;Pave;NridgHt;TwnhsE;1Story;7;5;2009;2010;0,21;1358;6;2010;New;Partial;224000
47;14300;Pave;NridgHt;1Fam;1Story;9;5;2003;2004;0,19;2696;6;2010;WD ;Normal;500000
48;13650;Pave;NridgHt;1Fam;2Story;8;5;2002;2002;0,12;1687;6;2010;WD ;Normal;320000
49;7658;Pave;NridgHt;TwnhsE;1Story;9;5;2005;2005;0,23;1752;2;2010;WD ;Normal;319900
50;7132;Pave;NridgHt;TwnhsE;1Story;8;5;2006;2006;0,19;1370;4;2010;WD ;Normal;205000
51;2628;Pave;NridgHt;Twnhs;2Story;7;5;2003;2003;0,29;764;6;2010;WD ;Normal;175500
52;18494;Pave;Gilbert;1Fam;1Story;6;5;2005;2005;0,07;1324;1;2010;WD ;Normal;199500
53;3203;Pave;Blmngtn;TwnhsE;1Story;7;5;2006;2006;0,36;1145;1;2010;WD ;Normal;160000
54;3182;Pave;Blmngtn;TwnhsE;1Story;8;5;2004;2005;0,4;1269;4;2010;WD ;Normal;192000
55;13300;Pave;Gilbert;1Fam;SLvl;7;5;2004;2004;0,06;744;6;2010;WD ;Normal;184500
56;7851;Pave;Gilbert;1Fam;2Story;6;5;2002;2002;0,11;860;5;2010;WD ;Normal;216500
57;8577;Pave;Gilbert;1Fam;2Story;7;5;2004;2004;0,1;847;4;2010;WD ;Normal;185088
58;7750;Pave;Gilbert;1Fam;SLvl;7;5;2000;2000;0,1;774;4;2010;WD ;Normal;180000
59;9505;Pave;Gilbert;1Fam;2Story;7;5;2001;2001;0,09;884;5;2010;WD ;Normal;222500
60;14774;Pave;NoRidge;1Fam;2Story;9;5;1999;1999;0,1;1422;5;2010;WD ;Normal;333168
61;17433;Pave;NoRidge;1Fam;2Story;8;5;1998;1998;0,09;1645;1;2010;WD ;Normal;355000
62;10593;Pave;NoRidge;1Fam;1Story;7;5;1996;1996;0,16;1720;3;2010;WD ;Normal;260400
63;12256;Pave;NoRidge;1Fam;2Story;8;5;1994;1995;0,12;1500;4;2010;WD ;Normal;325000
64;11764;Pave;NoRidge;1Fam;2Story;8;7;1999;2007;0,1;1164;4;2010;WD ;Normal;290000
65;16770;Pave;NoRidge;1Fam;2Story;7;5;1998;1998;0,07;1195;6;2010;WD ;Normal;221000
66;14720;Pave;NoRidge;1Fam;1.5Fin;8;5;1995;1996;0,14;2053;3;2010;WD ;Normal;410000
67;8987;Pave;Somerst;1Fam;1Story;8;5;2005;2006;0,18;1595;5;2010;WD ;Normal;221500
68;9215;Pave;Somerst;1Fam;1Story;7;5;2009;2010;0,13;1218;4;2010;New;Partial;204500
69;8640;Pave;Somerst;1Fam;2Story;7;5;2009;2009;0,09;764;6;2010;Con;Normal;215200
70;9000;Pave;Somerst;1Fam;1Story;8;5;2008;2008;0,17;1566;4;2010;WD ;Normal;262500
71;12552;Pave;Somerst;1Fam;2Story;7;5;2004;2005;0,08;991;5;2010;WD ;Normal;254900
72;10440;Pave;Somerst;1Fam;1Story;6;5;2005;2005;0,14;1468;5;2010;WD ;Normal;271500
73;10142;Pave;SawyerW;1Fam;2Story;7;5;2004;2004;0,09;956;1;2010;WD ;Normal;233000
74;11920;Pave;SawyerW;1Fam;2Story;7;5;2004;2004;0,07;831;4;2010;WD ;Normal;181000
75;8880;Pave;SawyerW;1Fam;2Story;7;5;1994;2002;0,14;1222;5;2010;WD ;Normal;205000
76;8012;Pave;SawyerW;TwnhsE;1Story;6;5;1980;1980;0,12;923;5;2010;WD ;Normal;143000
77;11218;Pave;SawyerW;1Fam;2Story;6;5;1992;1992;0,09;1055;5;2010;WD ;Normal;189000
78;7892;Pave;SawyerW;TwnhsE;1Story;6;5;1979;1979;0,12;918;4;2010;WD ;Normal;99500
79;7175;Pave;SawyerW;TwnhsE;1Story;6;5;1984;1984;0,1;752;2;2010;WD ;Normal;125000
80;9453;Pave;SawyerW;1Fam;2Story;7;7;1993;2003;0,11;1014;2;2010;WD ;Normal;194500
81;9672;Pave;SawyerW;1Fam;1Story;6;5;1984;1985;0,11;1097;5;2010;WD ;Normal;152000
82;8400;Pave;SawyerW;1Fam;2Story;6;6;1980;1981;0,11;888;4;2010;WD ;Normal;171000
83;9800;Pave;SawyerW;1Fam;1Story;5;5;1920;1950;0,1;1012;4;2010;WD ;Normal;67500
84;8930;Pave;Sawyer;Duplex;1.5Fin;6;5;1978;1978;0,15;1318;4;2010;WD ;Normal;112000
85;11782;Pave;Sawyer;1Fam;SFoyer;5;7;1961;1995;0,1;1155;6;2010;WD ;Normal;148000
86;8450;Pave;Sawyer;1Fam;1Story;5;8;1965;2009;0,11;894;4;2010;WD ;Normal;138500
87;9819;Pave;Sawyer;1Fam;1Story;5;5;1967;1967;0,09;900;2;2010;WD ;Normal;122000
68;9215;Pave;Somerst;1Fam;1Story;7;5;2009;2010;0,13;1218;4;2010;New;Partial;204500
88;7500;Pave;Sawyer;1Fam;1Story;5;5;1963;1963;0,14;1040;6;2010;WD ;Normal;133000
89;6897;Pave;Sawyer;1Fam;1Story;5;8;1962;2010;0,15;1040;4;2010;WD ;Normal;127000
90;15410;Pave;Sawyer;1Fam;1Story;6;6;1974;2002;0,1;1494;4;2010;WD ;Abnorml;169000
91;10186;Pave;NoRidge;1Fam;2Story;7;5;1992;1992;0,1;1061;6;2010;WD ;Normal;190000
92;13143;Pave;NoRidge;1Fam;2Story;8;5;1993;1993;0,1;1251;6;2010;WD ;Normal;362500
93;11134;Pave;NoRidge;1Fam;2Story;8;5;1992;1993;0,13;1402;6;2010;WD ;Normal;285000
94;4835;Pave;Somerst;TwnhsE;1Story;7;5;2004;2005;0,31;1488;3;2010;WD ;Normal;260000
95;3515;Pave;Somerst;TwnhsE;2Story;7;5;2004;2004;0,24;840;1;2010;WD ;Normal;190000
96;3215;Pave;Somerst;TwnhsE;2Story;7;5;2004;2004;0,19;600;4;2010;ConLD;Normal;155000
97;3182;Pave;Somerst;TwnhsE;2Story;7;5;2004;2005;0,19;600;6;2010;WD ;Normal;151000
98;2544;Pave;Somerst;Twnhs;2Story;7;5;2004;2005;0,24;600;2;2010;WD ;Normal;149500
99;2544;Pave;Somerst;Twnhs;2Story;6;5;2005;2005;0,24;600;5;2010;WD ;Normal;152000
100;4403;Pave;Somerst;1Fam;1Story;7;5;2009;2009;0,34;1478;6;2010;New;Partial;222000
101;2117;Pave;Somerst;Twnhs;2Story;6;5;2000;2000;0,36;769;6;2010;WD ;Normal;177500
102;2980;Pave;Somerst;TwnhsE;2Story;6;5;2000;2000;0,25;756;5;2010;WD ;Normal;177000
103;2572;Pave;Somerst;Twnhs;2Story;7;5;1999;1999;0,27;696;5;2010;WD ;Normal;155000
104;2403;Pave;Somerst;TwnhsE;2Story;7;5;2003;2003;0,22;530;6;2010;WD ;Normal;147110
105;12853;Pave;Somerst;1Fam;1Story;8;5;2010;2010;0,11;1418;4;2010;New;Partial;267916
106;7379;Pave;Somerst;1Fam;2Story;8;5;2000;2000;0,13;975;4;2010;WD ;Normal;254000
107;4420;Pave;Greens;TwnhsE;1Story;8;5;1980;1980;0,18;788;6;2010;WD ;Normal;155000
108;3880;Pave;Greens;Twnhs;1Story;8;6;1978;1978;0,32;1226;1;2010;WD ;Normal;206000
109;13517;Pave;Sawyer;1Fam;2Story;6;8;1976;2005;0,05;725;3;2010;WD ;Normal;130500
110;8000;Pave;Somerst;1Fam;1Story;7;5;2002;2002;0,19;1492;4;2010;WD ;Normal;230000
111;10456;Pave;NWAmes;1Fam;1Story;6;6;1967;1967;0,17;1829;5;2010;WD ;Normal;218500
112;10791;Pave;NWAmes;1Fam;2Story;6;5;1993;1993;0,12;1280;3;2010;WD ;Normal;243500
113;10603;Pave;NWAmes;1Fam;1Story;6;7;1977;2001;0,15;1610;2;2010;WD ;Normal;205000
114;18837;Pave;NWAmes;1Fam;1.5Fin;6;5;1978;1978;0,07;1287;4;2010;WD ;Normal;212500
115;10421;Pave;NWAmes;1Fam;2Story;7;5;1988;1988;0,09;980;3;2010;WD ;Normal;196500
116;9360;Pave;NWAmes;1Fam;1Story;6;7;1972;2006;0,15;1381;3;2010;WD ;Normal;197500
117;9600;Pave;NWAmes;1Fam;2Story;6;6;1971;1971;0,1;930;6;2010;WD ;Normal;171000
118;9600;Pave;NAmes;1Fam;1Story;5;5;1966;1966;0,13;1232;4;2010;WD ;Normal;142250
127;9717;Pave;NAmes;1Fam;1Story;5;6;1950;1996;0,11;1078;4;2010;WD ;Normal;142125
119;9790;Pave;NWAmes;1Fam;1Story;6;5;1963;1963;0,14;1328;6;2010;WD ;Normal;143000
120;9320;Pave;NAmes;1Fam;1Story;4;5;1959;1959;0,13;1225;1;2010;WD ;Normal;128950
121;9900;Pave;NAmes;1Fam;1Story;5;5;1966;1966;0,12;1209;4;2010;ConLD;Normal;159000
122;9680;Pave;NAmes;1Fam;1Story;5;6;1967;1967;0,16;1510;4;2010;WD ;Normal;178900
123;10600;Pave;NAmes;1Fam;SLvl;6;5;1964;1964;0,11;1131;5;2010;COD;Family;136300
124;14112;Pave;NAmes;1Fam;SLvl;5;7;1964;1964;0,08;1152;4;2010;WD ;Normal;180500
125;8800;Pave;NAmes;1Fam;SFoyer;6;7;1963;1963;0,12;1054;5;2010;WD ;Abnorml;137500
126;13260;Pave;NAmes;Duplex;1Story;5;6;1962;2001;0,13;1728;1;2010;Oth;Abnorml;84900
127;9717;Pave;NAmes;1Fam;1Story;5;6;1950;1996;0,11;1078;4;2010;WD ;Normal;142125
128;9724;Pave;NAmes;1Fam;1.5Fin;5;7;1952;2002;0,2;1929;3;2010;WD ;Normal;197600
129;17360;Pave;NAmes;1Fam;1.5Fin;6;6;1949;1950;0,06;1019;1;2010;WD ;Normal;172500
130;7207;Pave;BrkSide;1Fam;1Story;5;7;1958;2008;0,12;858;2;2010;WD ;Normal;116500
131;5350;Pave;BrkSide;1Fam;1Story;3;2;1940;1966;0,24;1306;5;2010;WD ;Normal;76500
132;9920;Pave;NAmes;1Fam;1Story;5;5;1954;1954;0,11;1063;2;2010;WD ;Normal;128000
133;9600;Pave;NAmes;1Fam;SLvl;6;6;1955;1972;0,16;1520;3;2010;WD ;Normal;153000
134;7800;Pave;NAmes;1Fam;1Story;5;6;1954;1954;0,16;1268;3;2010;WD ;Normal;132000
135;11380;Pave;NAmes;1Fam;SFoyer;6;8;1966;2008;0,1;1128;1;2010;WD ;Normal;178000
136;11600;Pave;NAmes;Duplex;2Story;5;5;1960;1960;0,1;1105;1;2010;WD ;Normal;154300
137;19900;Pave;NAmes;1Fam;1Story;7;5;1970;1989;0,11;2207;7;2010;WD ;Normal;180000
138;16492;Pave;NAmes;1Fam;1Story;6;6;1966;2002;0,11;1888;6;2010;WD ;Normal;190000
139;8267;Pave;NAmes;Duplex;1Story;5;5;1958;1958;0,19;1604;3;2010;WD ;Normal;135000
140;8197;Pave;NAmes;1Fam;1Story;7;5;2003;2009;0,18;1480;2;2010;WD ;Normal;214000
141;8050;Pave;NAmes;1Fam;1Story;5;5;1959;1959;0,14;1143;5;2010;WD ;Normal;136000
142;10552;Pave;NAmes;1Fam;1Story;5;5;1959;1959;0,16;1700;4;2010;WD ;Normal;165500
143;8400;Pave;NAmes;1Fam;1Story;5;6;1957;1957;0,16;1314;6;2010;WD ;Normal;145000
144;8760;Pave;NAmes;1Fam;1Story;6;6;1959;1959;0,14;1194;4;2010;WD ;Normal;148000
145;12160;Pave;NAmes;1Fam;1Story;5;5;1959;1959;0,1;1188;5;2010;COD;Abnorml;142000
146;9300;Pave;NAmes;1Fam;1Story;5;5;1960;1960;0,14;1264;4;2010;WD ;Normal;167500
147;10725;Pave;NAmes;1Fam;1Story;5;5;1959;1959;0,11;1206;5;2010;WD ;Normal;108538
148;10032;Pave;NAmes;1Fam;1Story;6;5;1959;1959;0,16;1580;6;2010;WD ;Normal;159500
149;8382;Pave;NAmes;1Fam;1.5Fin;4;5;1956;1956;0,1;832;2;2010;WD ;Normal;108000
150;10950;Pave;NAmes;1Fam;1Story;5;7;1952;1952;0,1;1064;5;2010;WD ;Normal;135000
151;10895;Pave;NAmes;1Fam;1Story;5;6;1955;1955;0,09;972;6;2010;WD ;Normal;122500
152;13587;Pave;NAmes;2fmCon;1Story;5;5;1958;1958;0,07;988;4;2010;WD ;Abnorml;119000
153;7922;Pave;NAmes;1Fam;1Story;5;7;1953;2007;0,13;1057;1;2010;WD ;Abnorml;109000
154;7898;Pave;NAmes;1Fam;1Story;4;7;1920;1994;0,12;985;4;2010;WD ;Normal;105000
155;7200;Pave;NAmes;1Fam;1Story;5;7;1955;2007;0,11;827;4;2010;WD ;Normal;107500
156;10200;Pave;NAmes;1Fam;1Story;5;7;1954;2003;0,11;1086;5;2010;WD ;Normal;144900
157;5868;Pave;NAmes;1Fam;1Story;5;7;1956;2000;0,16;936;5;2010;WD ;Normal;129000
158;17503;Pave;NAmes;1Fam;1.5Fin;6;5;1948;1950;0,05;912;1;2010;WD ;Abnorml;97500
159;6979;Pave;OldTown;Duplex;SFoyer;6;5;1980;1980;0,15;1056;6;2010;WD ;Normal;144000
160;9830;Pave;NAmes;1Fam;1Story;5;7;1959;2006;0,13;1287;3;2010;WD ;Normal;162000
161;11275;Pave;NAmes;1Fam;SLvl;7;7;1967;2007;0,17;1898;6;2010;WD ;Normal;242000
162;8064;Pave;NAmes;1Fam;1.5Fin;6;8;1948;2004;0,1;816;5;2010;WD ;Normal;132000
163;7500;Pave;NAmes;1Fam;1Story;5;7;1959;1994;0,17;1246;5;2010;WD ;Normal;154000
164;8520;Pave;NAmes;1Fam;1.5Fin;5;4;1952;1952;0,11;910;6;2010;WD ;Normal;166000
165;7200;Pave;NAmes;1Fam;1Story;5;7;1951;2000;0,13;900;5;2010;WD ;Normal;134800
166;10000;Pave;NAmes;1Fam;1Story;6;6;1962;1962;0,11;1116;2;2010;WD ;Normal;160000
167;7635;Pave;NAmes;1Fam;1Story;5;6;1960;1960;0,15;1175;6;2010;WD ;Normal;148000
168;9760;Pave;NAmes;1Fam;1Story;6;7;1963;1984;0,14;1395;5;2010;WD ;Normal;192000
169;7700;Pave;NAmes;1Fam;2Story;6;5;1966;1966;0,14;1051;6;2010;WD ;Normal;155000
170;4800;Pave;OldTown;1Fam;1.5Fin;4;5;1900;1954;0,24;1157;1;2010;COD;Abnorml;80400
171;8800;Pave;OldTown;1Fam;1.5Fin;4;7;1910;2004;0,09;792;6;2010;WD ;Normal;96500
172;4485;Pave;OldTown;1Fam;1Story;5;7;1920;1950;0,21;936;5;2010;WD ;Normal;109500
173;8960;Pave;OldTown;1Fam;1Story;5;6;1927;1950;0,11;1028;3;2010;WD ;Normal;115000
174;5805;Pave;OldTown;1Fam;1Story;5;7;1957;1957;0,23;1347;6;2010;WD ;Normal;143000
175;5790;Pave;OldTown;1Fam;2Story;3;6;1915;1950;0,15;840;5;2010;WD ;Normal;107400
176;4608;Pave;OldTown;1Fam;1Story;4;6;1945;1950;0,16;747;6;2010;WD ;Normal;80000
177;7200;Pave;OldTown;1Fam;1Story;5;7;1940;1992;0,11;804;2;2010;WD ;Abnorml;119000
178;5500;Pave;OldTown;1Fam;1.5Fin;5;7;1929;2001;0,17;926;4;2010;WD ;Normal;130000
179;6900;Pave;OldTown;1Fam;1.5Fin;6;7;1938;2000;0,12;827;1;2010;WD ;Normal;119000
180;11851;Pave;OldTown;1Fam;1.5Fin;5;7;1948;2009;0,09;1027;6;2010;WD ;Normal;129000
181;8239;Pave;OldTown;1Fam;1.5Fin;5;6;1920;1962;0,13;1060;3;2010;WD ;Normal;100000
182;9656;Pave;OldTown;1Fam;1Story;2;2;1923;1970;0,09;832;6;2010;WD ;Abnorml;12789
183;8520;Pave;OldTown;1Fam;1Story;6;8;1928;2003;0,08;720;5;2010;WD ;Normal;105900
184;9600;Pave;OldTown;1Fam;2Story;8;9;1900;2003;0,1;930;4;2010;WD ;Abnorml;150000
185;10800;Pave;OldTown;1Fam;1.5Fin;5;6;1915;1950;0,09;966;6;2010;WD ;Normal;139000
186;9000;Pave;OldTown;1Fam;2Story;8;9;1890;2002;0,13;1157;4;2010;WD ;Normal;240000
187;9045;Pave;OldTown;2fmCon;2Story;5;3;1910;1950;0,12;1128;6;2010;WD ;Abnorml;76500
188;7407;Pave;OldTown;1Fam;1Story;6;7;1957;1996;0,17;1236;4;2010;WD ;Normal;149700
189;7740;Pave;OldTown;1Fam;2Story;4;7;1910;1950;0,1;741;6;2010;WD ;Normal;125500
190;11340;Pave;OldTown;2fmCon;2Story;4;6;1885;1950;0,11;1246;4;2010;WD ;Normal;122500
191;10560;Pave;OldTown;1Fam;2Story;6;7;1922;1994;0,08;868;6;2010;WD ;Normal;140750
192;5830;Pave;BrkSide;1Fam;1.5Fin;5;6;1950;1997;0,18;1030;3;2010;WD ;Normal;128500
193;7793;Pave;BrkSide;1Fam;2.5Unf;7;7;1922;2005;0,15;1160;5;2010;WD ;Normal;209500
194;5000;Pave;BrkSide;1Fam;1Story;4;7;1925;1950;0,15;765;4;2010;WD ;Normal;87000
195;6000;Pave;BrkSide;1Fam;1.5Fin;6;7;1939;1950;0,1;608;4;2010;WD ;Abnorml;134000
196;6000;Pave;BrkSide;1Fam;1.5Fin;6;6;1940;1950;0,14;848;3;2010;WD ;Normal;128000
197;6360;Pave;BrkSide;1Fam;1.5Fin;5;6;1942;1950;0,15;955;3;2010;WD ;Normal;132000
198;6000;Pave;BrkSide;1Fam;1.5Fin;6;7;1948;1950;0,13;780;3;2010;WD ;Normal;139900
199;6240;Pave;BrkSide;1Fam;1.5Fin;5;7;1936;1980;0,09;548;5;2010;WD ;Normal;123900
200;6240;Pave;BrkSide;1Fam;1.5Fin;5;5;1930;1950;0,15;928;3;2010;WD ;Normal;138400
201;6120;Pave;OldTown;1Fam;1Story;6;5;1923;1950;0,17;1068;3;2010;WD ;Normal;109500
202;10300;Pave;OldTown;1Fam;2Story;7;6;1921;1950;0,09;902;4;2010;WD ;Normal;140000
203;8094;Pave;OldTown;1Fam;1.5Fin;4;5;1915;1950;0,11;888;6;2010;WD ;Normal;149500
204;12900;Pave;OldTown;1Fam;2Story;6;8;1912;2009;0,06;780;5;2010;WD ;Normal;159900
205;3068;Pave;OldTown;1Fam;2Story;6;8;1920;1993;0,22;662;2;2010;WD ;Normal;122000
206;8472;Grvl;IDOTRR;Duplex;1Story;5;5;1963;1963;0,1;816;5;2010;WD ;Normal;110000
207;5600;Pave;IDOTRR;2fmCon;2Story;4;5;1930;1950;0,07;372;7;2010;WD ;Normal;55000
208;7630;Pave;OldTown;2fmCon;2Story;5;9;1900;1996;0,14;1032;5;2010;WD ;Normal;140000
209;24090;Pave;ClearCr;1Fam;2Story;7;7;1940;1950;0,05;1207;6;2010;COD;Normal;244400
210;15263;Pave;ClearCr;1Fam;1Story;5;5;1959;1959;0,11;1675;5;2010;WD ;Normal;173000
211;10632;Pave;ClearCr;1Fam;1.5Fin;5;3;1917;1950;0,07;725;1;2010;COD;Normal;107500
212;9900;Pave;SWISU;2fmCon;1.5Fin;5;4;1915;1950;0,12;1212;2;2010;ConLD;Normal;100000
213;6001;Pave;SWISU;1Fam;1.5Fin;6;5;1940;1950;0,1;600;3;2010;WD ;Normal;95000
214;6449;Pave;SWISU;1Fam;2Story;4;1;1907;1950;0,15;942;3;2010;WD ;Abnorml;93369
215;6048;Pave;SWISU;2fmCon;1.5Fin;5;7;1910;1950;0,15;936;6;2010;COD;Normal;114900
216;6342;Pave;Sawyer;1Fam;1.5Fin;5;8;1875;1996;0,12;780;5;2010;WD ;Normal;94000
217;10773;Pave;Sawyer;Duplex;1Story;4;3;1967;1967;0,17;1832;5;2010;WD ;Normal;136000
218;10778;Pave;Sawyer;Duplex;1Story;4;5;1968;1968;0,16;1768;4;2010;WD ;Normal;136500
219;11625;Pave;Sawyer;2fmCon;1Story;5;4;1965;1965;0,09;1039;4;2010;WD ;Normal;131500
220;11341;Pave;Sawyer;1Fam;1Story;5;6;1957;1996;0,12;1392;5;2010;WD ;Normal;121500
221;8521;Pave;Sawyer;1Fam;1Story;5;5;1967;1967;0,11;912;5;2010;WD ;Normal;125000
222;8246;Pave;Sawyer;1Fam;1Story;5;8;1968;2001;0,13;1060;5;2010;WD ;Normal;154000
223;7800;Pave;Sawyer;1Fam;1Story;5;7;1966;2008;0,11;892;6;2010;WD ;Normal;137900
224;9364;Pave;Sawyer;1Fam;2Story;6;7;1969;1969;0,07;663;3;2010;WD ;Normal;158000
225;7832;Pave;Sawyer;1Fam;1Story;5;5;1968;1968;0,11;864;5;2010;WD ;Normal;137250
226;7424;Pave;Sawyer;Duplex;SFoyer;5;5;1978;1978;0,18;1373;5;2010;WD ;Normal;160250
227;11227;Pave;Sawyer;1Fam;2Story;5;5;1968;1968;0,06;720;3;2010;WD ;Normal;163000
228;11616;Pave;Sawyer;1Fam;2Story;6;5;1978;1978;0,06;672;4;2010;WD ;Abnorml;158900
229;14000;Pave;ClearCr;1Fam;2Story;7;5;1996;1997;0,09;1306;4;2010;WD ;Normal;328000
230;20062;Pave;ClearCr;1Fam;1Story;7;7;1977;2001;0,07;1483;4;2010;WD ;Normal;270000
231;9259;Pave;Sawyer;1Fam;1Story;4;4;1927;1950;0,08;756;6;2010;WD ;Normal;85000
232;9600;Pave;Sawyer;1Fam;1Story;4;7;1950;1995;0,11;1067;2;2010;WD ;Normal;128000
233;23595;Pave;ClearCr;1Fam;1Story;7;6;1979;1979;0,06;1332;4;2010;WD ;Normal;260000
234;17082;Pave;ClearCr;1Fam;2Story;6;5;1978;1992;0,07;1117;5;2010;WD ;Normal;230000
235;18600;Pave;Edwards;1Fam;1.5Fin;3;4;1938;1990;0,06;1052;6;2010;WD ;Normal;124000
236;10625;Pave;Edwards;1Fam;1Story;5;5;1920;1950;0,08;835;5;2010;COD;Abnorml;83000
237;11479;Pave;Edwards;1Fam;1Story;6;7;1950;1987;0,09;1074;6;2010;WD ;Normal;144500
238;9571;Pave;Edwards;1Fam;1Story;5;6;1956;1956;0,12;1144;6;2010;WD ;Normal;129000
239;9350;Pave;Edwards;1Fam;1.5Fin;4;6;1947;1979;0,13;1169;6;2010;WD ;Normal;127000
